place_id,name,lat,lon,rating,user_ratings_total,address,types
ChIJWTlojylzVo8Ryx3TTM9pI30,Amavita Park,20.907929199999998,-89.6869413,5.0,2,"C. 26, 97392 Umán, Yuc., Mexico","park,point_of_interest,establishment"
ChIJT06JPmtzVo8RvYBotyaHKl4,Lineal San Marcos segunda etapa Park,20.8987761,-89.6664946,4.5,32,"San marcos sustentable, C. 104 658, 97295 Mérida, Yuc., Mexico","park,point_of_interest,establishment"
ChIJObJjTsttVo8R-j0-vKPAOKc,lineal primera etapa Park,20.8980133,-89.66570829999999,4.0,3,"C. 102, san marcos, 97295 Mérida, Yuc., Mexico","park,point_of_interest,establishment"
ChIJ5y9PIgBtVo8RbY8hFwbChHk,Santa Fe Park,20.887611099999997,-89.6711667,4.5,4,"FRACC. SANTA CRUZ PALOMEQUE, C. 187ᴹ 662, Santa Cruz, 97295 Mérida, Yuc., Mexico","park,point_of_interest,establishment"
ChIJU8YnYY1tVo8RbcT6cRn7t1k,181A Park,20.899275199999998,-89.66466989999999,4.8,4,"C. 100 652, 97295 Mérida, Yuc., Mexico","park,point_of_interest,establishment"
ChIJh2JbiC1zVo8ReSh4Jqi2eE4,el Gran Trono de México,20.9050481,-89.6593209,5.0,3,"C. 63b 272, Sin Nombre de Col 11, 97295 Mérida, Yuc., Mexico","park,point_of_interest,establishment"
ChIJNXSyqnttVo8RVTeZHdopjeA,Glorieta Santa Cruz,20.8937353,-89.6698285,3.4,8,"97295 Merida, Yucatan, Mexico","park,point_of_interest,establishment"
ChIJyROIWABtVo8RZPio5B6XGzc,Arboleda Fracc. Santa Cruz Palomeque IV,20.8947558,-89.67087719999999,,0,"97295 Merida, Yucatan, Mexico","park,point_of_interest,establishment"
ChIJtdlaVQBzVo8Rn1wWxHm3nlo,El Roble Cien Años Park,20.915513999999998,-89.67689999999999,5.0,1,"C. 20 470, El Roble Agrícola, 97295 Mérida, Yuc., Mexico","park,point_of_interest,establishment"
ChIJn3q5dQBtVo8RZRaET09-gJI,Tunsahur,20.8909087,-89.67228500000002,,0,"FRACC. SANTA CRUZ PALOMEQUE, Calle 187H 688, Santa Cruz Palomeque Etapa II, 97390 Mérida, Yuc., Mexico","park,point_of_interest,establishment"
ChIJ6TrtUABtVo8RjygvJhjbZzs,gran santa cruz Park,20.8901644,-89.67515399999999,,0,"C. 114 30n, entre 191 y 193, Gran, Santa Cruz, 97295 Mérida, Yuc., Mexico","park,point_of_interest,establishment"
ChIJcUWiVwBzVo8Rty-QkEsDfH4,Litos,20.913093399999998,-89.6710415,,0,"Sin Nombre de Col 11, 97295 Mérida, Yuc., Mexico","park,point_of_interest,establishment"
ChIJWy5KGgBtVo8RQCpbdHD-iiM,Las mulas Santa Cruz Palomeque III Park,20.889549199999998,-89.6664308,,0,"97295 Merida, Yucatan, Mexico","park,point_of_interest,establishment"
ChIJneMICgBzVo8RHqdFkMHRF70,techado Park,20.9141114,-89.6806051,4.0,1,"C. 59 por 30 y 28, El Roble Agrícola, 97255 Mérida, Yuc., Mexico","park,point_of_interest,establishment"
ChIJ____Y4FtVo8RK3OdqvwGiio,Sur Ecological Park,20.8970518,-89.6595773,,0,"Sin Nombre de Col 19, 97297 Mérida, Yuc., Mexico","park,point_of_interest,establishment"
ChIJM7Q2ooltVo8RaYHUxs-vdfg,Parque La Arbolada,20.9004022,-89.65028819999999,4.4,841,"C. 86, San Antonio Xluch III, 97297 Mérida, Yuc., Mexico","park,point_of_interest,establishment"
ChIJR7uSdg9yVo8RIFrUxMnWEmg,Hundido San José Tecoh Sur Park,20.9112954,-89.6353918,4.3,327,"Parque Hundido del, y, C. 58 Lote por 153, 381AJosé Tecoh II, 97298 Mérida, Yuc., Mexico","park,point_of_interest,establishment"
ChIJz2QyhZptVo8Rag3JbmNhFtg,San Luis Dzununcán Park,20.888546899999998,-89.653928,4.1,123,"Colonia Dzununcan, San Luis Sur, 97315 Mérida, Yuc., Mexico","park,point_of_interest,establishment"
ChIJq9lQ6_RtVo8RxJbVhMJuluA,La Guadalupana Park,20.8981706,-89.64254299999999,4.3,69,"Guadalupana, 97315 Mérida, Yuc., Mexico","park,point_of_interest,establishment"
ChIJbWeeL25yVo8RAPrszWXSM9k,Parque La Palapa,20.9146569,-89.65179320000001,4.1,118,"C. 161 161, Sin Nombre de Col 18, 97297 Mérida, Yuc., Mexico","park,point_of_interest,establishment"
ChIJORVgpG1yVo8RB1WrHMN9LkE,Paso Texas Park,20.916472,-89.64679170000001,4.0,164,"C. 86 328, Emiliano Zapata Sur II, 97297 Mérida, Yuc., Mexico","park,point_of_interest,establishment"
ChIJhUCUh71zVo8RwtyrTponlo8,Col. Emiliano Zapata sur III,20.9080917,-89.6537973,4.8,6,"C. 171-B 450, entre 96a y 96b, Sin Nombre de Col 18, 97297 Mérida, Yuc., Mexico","park,point_of_interest,establishment"
ChIJ7U-XPdtzVo8RMP-5fH6AMvQ,dos canchas Park,20.9146601,-89.6509122,5.0,1,"C. 163 251, Emiliano Zapata Sur III, 97297 Mérida, Yuc., Mexico","park,point_of_interest,establishment"
ChIJG2FMYFxtVo8Rl6QODI3j9tc,"Nueva San José tecoh "" Don Frutas"" Park",20.9013754,-89.6348095,4.6,5,"97315 Merida, Yucatan, Mexico","park,point_of_interest,establishment"
ChIJ82eeDw1yVo8RG5c13VIvdlE,Parque El Renacimiento,20.912366,-89.64208769999999,4.1,15,"C. 163ᴬ 264, Emiliano Zapata Sur III, 97297 Mérida, Yuc., Mexico","park,point_of_interest,establishment"
ChIJ82eeDw1yVo8RbW5c43A66ls,PARQUE LA PALAPA,20.9131177,-89.64232109999999,3.8,34,"C. 163ᴬ 264, Emiliano Zapata Sur III, 97297 Mérida, Yuc., Mexico","park,point_of_interest,establishment"
